threshold,accuracy,precision,recall,f1
0.6,0.9836272040302267,0.992,0.9872611464968153,0.9896249002394254
0.61,0.9836272040302267,0.992,0.9872611464968153,0.9896249002394254
0.62,0.9836272040302267,0.992,0.9872611464968153,0.9896249002394254
0.63,0.9836272040302267,0.992,0.9872611464968153,0.9896249002394254
0.64,0.9836272040302267,0.992,0.9872611464968153,0.9896249002394254
0.65,0.9836272040302267,0.992,0.9872611464968153,0.9896249002394254
0.66,0.9836272040302267,0.992,0.9872611464968153,0.9896249002394254
0.67,0.9836272040302267,0.992,0.9872611464968153,0.9896249002394254
0.68,0.982367758186398,0.9919871794871795,0.9856687898089171,0.9888178913738019
0.6900000000000001,0.982367758186398,0.9919871794871795,0.9856687898089171,0.9888178913738019
0.7000000000000001,0.982367758186398,0.9919871794871795,0.9856687898089171,0.9888178913738019
0.71,0.982367758186398,0.9919871794871795,0.9856687898089171,0.9888178913738019
0.72,0.982367758186398,0.9919871794871795,0.9856687898089171,0.9888178913738019
0.73,0.982367758186398,0.9919871794871795,0.9856687898089171,0.9888178913738019
0.74,0.982367758186398,0.9919871794871795,0.9856687898089171,0.9888178913738019
0.75,0.982367758186398,0.9919871794871795,0.9856687898089171,0.9888178913738019
0.76,0.982367758186398,0.9919871794871795,0.9856687898089171,0.9888178913738019
0.77,0.982367758186398,0.9919871794871795,0.9856687898089171,0.9888178913738019
0.78,0.9811083123425692,0.9919743178170144,0.9840764331210191,0.988009592326139
0.79,0.9811083123425692,0.9919743178170144,0.9840764331210191,0.988009592326139
0.8,0.982367758186398,0.9935691318327974,0.9840764331210191,0.9888
0.81,0.9798488664987406,0.9935483870967742,0.9808917197452229,0.9871794871794872
0.8200000000000001,0.9798488664987406,0.9935483870967742,0.9808917197452229,0.9871794871794872
0.8300000000000001,0.9798488664987406,0.9935483870967742,0.9808917197452229,0.9871794871794872
0.84,0.9811083123425692,0.9951534733441034,0.9808917197452229,0.9879711307137129
0.85,0.9785894206549118,0.9951377633711507,0.9777070063694268,0.9863453815261044
0.86,0.9798488664987406,0.9967532467532467,0.9777070063694268,0.9871382636655949
0.87,0.9785894206549118,0.9967479674796748,0.9761146496815286,0.9863234111021721
0.88,0.9773299748110831,0.996742671009772,0.9745222929936306,0.9855072463768116
0.89,0.9773299748110831,0.996742671009772,0.9745222929936306,0.9855072463768116
0.9,0.9760705289672544,0.9967373572593801,0.9729299363057324,0.984689766317486
0.91,0.9748110831234257,0.9967320261437909,0.9713375796178344,0.9838709677419355
0.92,0.9748110831234257,0.9967320261437909,0.9713375796178344,0.9838709677419355
0.93,0.9735516372795969,0.9967266775777414,0.9697452229299363,0.9830508474576272
0.9400000000000001,0.9735516372795969,0.9983579638752053,0.9681528662420382,0.9830234438156831
0.9500000000000001,0.9722921914357683,0.9983552631578947,0.9665605095541401,0.982200647249191
0.96,0.9710327455919395,0.9983525535420099,0.964968152866242,0.9813765182186235
0.97,0.9697732997481109,0.9983498349834984,0.9633757961783439,0.9805510534846029
0.98,0.9672544080604534,0.9983443708609272,0.9601910828025477,0.9788961038961039
0.99,0.9634760705289672,0.9983361064891847,0.9554140127388535,0.9764035801464606
